Organization Name,Tax ID,Country,State,States,Entity Type,Client Owner & Manager,Email,Tax Types,Estimated Tax Liability,Equity Owner Count,Notes
Marin Harbor Analytics LLC (TEST),99-0004201,United States,CA,CA;NY,LLC,Jordan Park,test+karbon001@example.com,,78000,3,Multi-state LLC. Default Matrix should infer CA and NY obligations.
Oakline Advisory Inc (TEST),99-0004202,United States,California,CA,S Corporation,Riley Chen,test+karbon002@example.com,,94000,2,State normalization plus S corporation filing flow.
Redwood Field Services Partners (TEST),99-0004203,United States,NY,NY,Partnership,Morgan Lee,test+karbon003@example.com,,185000,11,Large partnership with NY review exposure.
Brookline Freight Corp (TEST),99-0004204,United States,TX,TX,C Corporation,Taylor Kim,test+karbon004@example.com,tx_franchise_tax,126000,8,Explicit TX tax types for source-backed review flow.
Ember Street Retail Inc (TEST),99-0004205,United States,Florida,FL,C Corp,Parker Vu,test+karbon005@example.com,fl_f1120;fl_cit_estimated_tax,55000,5,Florida corporate income and estimated tax path.
Silvergate Design Studio LLC (TEST),99-0004206,United States,WA,WA,Limited Liability Company,Sam Rivera,test+karbon006@example.com,wa_combined_excise,41000,2,Washington excise frequency review.
Granite Ridge Partners (TEST),99-0004207,United States,Calif,CA,LP,Jordan Park,test+karbon007@example.com,,220000,9,California partnership normalizes from LP and Calif.
Hillcrest Bakery Group LLC (TEST),99 0004208,United States,C.A.,CA,L.L.C.,Riley Chen,test+karbon008@example.com,,36000,1,Invalid EIN and odd state token should be flagged while the row remains reviewable.
Ivy Dental Management PC (TEST),99-0004209,United States,New York,NY,S-Corp,Morgan Lee,test+karbon009@example.com,,87500,4,NY S corporation and PTET review path via Default Matrix.
Framehouse Films Inc (TEST),99-0004210,United States,CA,CA,Inc.,Taylor Kim,test+karbon010@example.com,ca_100_franchise,32000,6,CA C corporation explicit tax type alias path.
Juniper Coffee Roasters LLC (TEST),99-0004211,United States,,,LLC,Parker Vu,test+karbon011@example.com,,29000,2,Missing state should create a client facts gap.
Lumen House Studios Inc (TEST),99-0004212,US / CA / Los Angeles County,CA,CA,C Corporation,Sam Rivera,test+karbon012@example.com,,68000,3,Country column intentionally carries location text and should be ignored.
Meridian Bay Advisors Trust (TEST),99-0004213,United States,NY,NY,Trust,Jordan Park,test+karbon013@example.com,,25000,5,Trust row demonstrates needs-input handling.
Pacific Home Repair LLC (TEST),99-0004214,United States,CA,CA,Limited Liability Co,Riley Chen,test+karbon014@example.com,,53000,2,LLC synonym normalization with clean CA matrix coverage.
Orbit Works Robotics Inc (TEST),99-0004215,United States,TX,TX,Inc.,Morgan Lee,test+karbon015@example.com,tx_franchise_tax;tx_pir_oir,240000,7,TX corporation with explicit franchise and information report work.
Park Slope Design LLC (TEST),99-0004216,United States,NY,NY,LLC,Taylor Kim,test+karbon016@example.com,,47000,2,NY LLC filing fee and PTET optional review.
Queens Auto Collective LLC (TEST),99-0004217,United States,NY,NY,L.L.C.,Parker Vu,test+karbon017@example.com,,62000,4,Second NY LLC to show filters and workload grouping.
Relay Grid Systems Inc (TEST),99-0004218,United States,WA,WA,S Corporation,Sam Rivera,test+karbon018@example.com,wa_combined_excise,99000,3,WA excise review for an S corporation.
Northpoint Media Lab LLC (TEST),,United States,CA,CA,LLC,Jordan Park,test+karbon019@example.com,,45000,2,Missing EIN but usable client row.
Tideway Marine Services Inc (TEST),99-0004220,United States,FL,FL,C Corporation,Riley Chen,test+karbon020@example.com,fl_f1120,73000,4,Florida return without estimated-tax custom fact.
Canyon Ledger Services (TEST),99-0004221,United States,CA,CA,Sole Prop,Morgan Lee,test+karbon021@example.com,,18000,1,Sole proprietor row for normalization and low-risk filters.
Avalon Family Office LLC (TEST),99-0004222,United States,CA,CA;NY,LLC,Taylor Kim,test+karbon022@example.com,,156000,6,High-value multi-state LLC for dashboard exposure sorting.
Cascade Florist (TEST),99-0004223,United States,WA,WA,Sole Proprietor,Parker Vu,,wa_combined_excise,21000,1,Missing email plus WA excise review.
North Loop Freelancer (TEST),99-0004224,United States,TX,TX,Individual,Sam Rivera,test+karbon024@example.com,,12000,1,Individual client that should mostly stay in review.
,99-0004225,United States,CA,CA,LLC,Jordan Park,test+karbon025@example.com,,39000,2,Skipped row demonstration because organization name is blank.
Harbor Nonprofit Support (TEST),99-0004226,United States,CA,CA,Non-profit,Jordan Park,test+karbon026@example.com,,33000,1,Non-profit normalizes to other and should stay review-heavy.
